Terms                                 ,Genes ,ZIPF_Score ,Articles ,Freq_Term ,Publications
u1a                                   ,    0 ,      0.0  ,       1 ,        4 ,9848648
mdda                                  ,    1 ,      0.0  ,       1 ,        4 ,19144721
ccnf                                  ,    1 ,      0.0  ,       1 ,        4 ,33729478
ftd                                   ,    1 ,      2.24 ,       3 ,        4 ,"33729478,33495278,33771997"
plasmalemmal                          ,    2 ,      0.0  ,       3 ,        4 ,"34810232,21339484,17509612"
cenc                                  ,    2 ,      0.0  ,       1 ,        4 ,32796906
cscs                                  ,    1 ,      1.94 ,       1 ,        4 ,32468006
saturate                              ,    4 ,      2.57 ,       4 ,        4 ,"32468006,35782537,31168311,16534748"
phosphoproteomics                     ,    3 ,      0.0  ,       3 ,        4 ,"23793017,20688971,31906144"
rps6                                  ,    1 ,      0.0  ,       1 ,        4 ,21734034
spermiogenesis                        ,    2 ,      0.0  ,       2 ,        4 ,"22215678,22570411"
smarce1                               ,    1 ,      0.0  ,       1 ,        4 ,22215678
rrm1                                  ,    2 ,      0.0  ,       2 ,        4 ,"35886974,20200153"
ic9orf72i                             ,    1 ,      0.0  ,       1 ,        4 ,33495278
srsf2                                 ,    2 ,      0.0  ,       2 ,        4 ,"32332923,22570411"
cdk2                                  ,    2 ,      1.42 ,       3 ,        4 ,"12037670,33039146,23184662"
hypoxiareoxygenation                  ,    2 ,      0.0  ,       2 ,        4 ,"33600051,17909037"
hexim2                                ,    1 ,      0.0  ,       2 ,        4 ,"19883659,24515107"
pknalpha                              ,    1 ,      0.0  ,       1 ,        4 ,16331689
jmjd6                                 ,    1 ,      0.0  ,       1 ,        4 ,24360279
nf-κb                                 ,    3 ,      2.05 ,       4 ,        4 ,"27292648,29228011,20873783,29518406"
nonpermissive                         ,    2 ,      0.0  ,       3 ,        4 ,"9491887,10779346,9087427"
nucleate                              ,    4 ,      1.63 ,       4 ,        4 ,"18391197,29581457,2095458,26687036"
tfiid                                 ,    2 ,      0.0  ,       2 ,        4 ,"18391197,8188254"
myristoylation                        ,    1 ,      0.0  ,       3 ,        4 ,"19524571,25188325,1518044"
cdk14cyclin                           ,    0 ,      0.0  ,       1 ,        4 ,27821587
caprin-2                              ,    0 ,      0.0  ,       1 ,        4 ,27821587
spermatozoa                           ,    2 ,      2.13 ,       3 ,        4 ,"22184064,26305884,29945054"
polarize                              ,    2 ,      2.25 ,       3 ,        4 ,"20510931,29715315,32295617"
ampa                                  ,    1 ,      1.94 ,       1 ,        4 ,26220330
agonist-induced                       ,    2 ,      2.8  ,       2 ,        4 ,"33153214,21503958"
bdev                                  ,    2 ,      0.0  ,       1 ,        4 ,32796722
cpkc                                  ,    0 ,      0.0  ,       1 ,        4 ,7588787
epsilon                               ,    0 ,      2.88 ,       2 ,        4 ,"7588787,12622818"
zeta                                  ,    2 ,      3.08 ,       3 ,        4 ,"7588787,23322550,23796494"
tetrapod                              ,    2 ,      1.68 ,       2 ,        4 ,"27804976,21776009"
charr                                 ,    2 ,      1.91 ,       2 ,        4 ,"19014685,31870285"
displace                              ,    1 ,      2.97 ,       4 ,        4 ,"29715315,9653196,32494006,17082187"
pip2                                  ,    1 ,      1.44 ,       2 ,        4 ,"29715315,26744461"
glomeruli                             ,    3 ,      1.7  ,       3 ,        4 ,"35203426,26792178,21814176"
β-oxidation                           ,    3 ,      3.06 ,       3 ,        4 ,"35203426,32070771,31851938"
tpvat                                 ,    4 ,      0.0  ,       1 ,        4 ,34944635
infantumi                             ,    1 ,      0.0  ,       1 ,        4 ,31355153
malnourish                            ,    1 ,      0.0  ,       1 ,        4 ,31355153
interstitial                          ,    2 ,      2.78 ,       3 ,        4 ,"31355153,31982271,31797905"
morf                                  ,    2 ,      1.31 ,       2 ,        4 ,"30717652,15657427"
phospholipase                         ,    4 ,      2.0  ,       4 ,        4 ,"18213612,29026428,23665500,20919932"
ribosome-associated                   ,    4 ,      2.42 ,       4 ,        4 ,"16244660,28975734,18271751,23604074"
bip                                   ,    1 ,      2.53 ,       3 ,        4 ,"16244660,16244664,16271702"
tunnel                                ,    2 ,      4.24 ,       4 ,        4 ,"16244664,23315540,25278503,32669547"
sant                                  ,    1 ,      2.93 ,       2 ,        4 ,"16271702,14668352"
serpin                                ,    1 ,      0.0  ,       3 ,        4 ,"16271702,14668352,1551869"
itih4                                 ,    2 ,      0.0  ,       2 ,        4 ,"16271702,33299887"
mtj1                                  ,    1 ,      0.0  ,       3 ,        4 ,"16271702,21503958,11790253"
hsp40s                                ,    1 ,      0.0  ,       1 ,        4 ,17239655
malarial                              ,    3 ,      2.35 ,       3 ,        4 ,"17239655,19360125,29436819"
od259                                 ,    1 ,      0.0  ,       1 ,        4 ,17239655
capacitation                          ,    3 ,      1.21 ,       2 ,        4 ,"20945367,32842715"
itm2c                                 ,    1 ,      0.0  ,       2 ,        4 ,"17873332,19114711"
busulfan                              ,    1 ,      1.1  ,       2 ,        4 ,"17873332,18097506"
il-2-stimulated                       ,    1 ,      3.32 ,       2 ,        4 ,"12082633,12442332"
sh-sy5y                               ,    2 ,      0.0  ,       3 ,        4 ,"28176357,26515131,29900121"
adam10                                ,    1 ,      0.04 ,       3 ,        4 ,"28176357,17965014,21752865"
spermatogonia                         ,    3 ,      1.57 ,       4 ,        4 ,"18097506,30450874,35455958,16189181"
decamer                               ,    2 ,      0.0  ,       3 ,        4 ,"10781099,21916849,17974571"
solubility                            ,    2 ,      2.96 ,       4 ,        4 ,"16091362,12543933,22802721,29342075"
oligomers                             ,    3 ,      2.11 ,       3 ,        4 ,"16091362,23618867,18295965"
sppl2b                                ,    1 ,      0.0  ,       2 ,        4 ,"17965014,19114711"
endosomes                             ,    2 ,      1.81 ,       2 ,        4 ,"19748705,15750338"
n-glycosylated                        ,    1 ,      1.96 ,       1 ,        4 ,21752865
biotinylation                         ,    3 ,      1.02 ,       2 ,        4 ,"21752865,32817453"
mechanosensitive                      ,    3 ,      1.05 ,       3 ,        4 ,"26792178,25318674,18024958"
disassembly                           ,    3 ,      2.52 ,       3 ,        4 ,"26792178,16809425,20890123"
tobacco                               ,    3 ,      4.19 ,       3 ,        4 ,"23456891,31133003,28592803"
stellate                              ,    1 ,      2.08 ,       1 ,        4 ,23456891
tg-fdd-tau                            ,    1 ,      2.15 ,       1 ,        4 ,23418567
itm2bsupdsup                          ,    1 ,      0.0  ,       1 ,        4 ,34416235
imir-16-5pi                           ,    1 ,      0.0  ,       1 ,        4 ,32077747
ptc                                   ,    2 ,      2.75 ,       2 ,        4 ,"21509594,19417104"
ddrt-pcr                              ,    0 ,      0.0  ,       1 ,        4 ,10875629
arpp-21                               ,    0 ,      0.0  ,       1 ,        4 ,2845422
interphase                            ,    4 ,      1.95 ,       4 ,        4 ,"21164013,11375989,35164288,11986303"
α-endosulfine                         ,    1 ,      0.0  ,       2 ,        4 ,"21164013,21164014"
sulfonylurea                          ,    0 ,      1.69 ,       2 ,        4 ,"14728987,9653196"
katp                                  ,    0 ,      0.0  ,       1 ,        4 ,9653196
mir-320a                              ,    1 ,      0.6  ,       1 ,        4 ,25736597
ivermectin-related                    ,    1 ,      2.08 ,       1 ,        4 ,32549918
gwlscant                              ,    1 ,      0.0  ,       1 ,        4 ,21852956
metaphase                             ,    2 ,      1.88 ,       2 ,        4 ,"18927152,26702755"
twine                                 ,    1 ,      2.93 ,       1 ,        4 ,18927152
subsurface                            ,    0 ,      2.89 ,       2 ,        4 ,"11906164,14559359"
ionic                                 ,    2 ,      3.21 ,       4 ,        4 ,"11906164,32636874,17974571,31031728"
ultrastructural                       ,    2 ,      1.71 ,       4 ,        4 ,"11535622,30409805,31506724,28249764"
jp-1-ko                               ,    1 ,      3.39 ,       1 ,        4 ,12135771
jp2-s165f                             ,    1 ,      0.0  ,       1 ,        4 ,20095964
myotube                               ,    2 ,      0.0  ,       2 ,        4 ,"20095964,29898807"
disarray                              ,    2 ,      2.96 ,       3 ,        4 ,"28393127,28566298,30289745"
sarcomere                             ,    2 ,      1.37 ,       4 ,        4 ,"30235249,31506724,30289745,29540307"
tzu                                   ,    1 ,      3.02 ,       1 ,        4 ,34231238
blindness                             ,    3 ,      3.44 ,       4 ,        4 ,"34231238,18396137,28900183,28632987"
ersr-pm                               ,    1 ,      0.0  ,       1 ,        4 ,31337710
tnr                                   ,    1 ,      2.13 ,       1 ,        4 ,23801983
clu                                   ,    1 ,      2.41 ,       1 ,        4 ,33299887
stromal                               ,    2 ,      2.41 ,       3 ,        4 ,"28768491,16677835,24704991"
rtk                                   ,    1 ,      1.94 ,       1 ,        4 ,28768491
pdgfra                                ,    1 ,      0.0  ,       1 ,        4 ,28768491
imatinib                              ,    2 ,      1.84 ,       2 ,        4 ,"28768491,27573699"
sdh                                   ,    1 ,      2.23 ,       1 ,        4 ,28768491
recurrence                            ,    2 ,      3.2  ,       2 ,        4 ,"28768491,27470985"
caco-2                                ,    2 ,      1.91 ,       3 ,        4 ,"22968445,19296525,11932413"
infarction                            ,    3 ,      2.84 ,       4 ,        4 ,"28473402,29540307,34343541,32196615"
disorganize                           ,    3 ,      1.45 ,       3 ,        4 ,"28473402,15003625,23132854"
hyperglycemic                         ,    2 ,      1.56 ,       2 ,        4 ,"31133884,27393003"
fluorimetry                           ,    2 ,      0.0  ,       3 ,        4 ,"31133884,28632987,29235198"
ltccs                                 ,    1 ,      0.0  ,       1 ,        4 ,32053184
unc-68                                ,    1 ,      3.31 ,       1 ,        4 ,33871019
nd2                                   ,    1 ,      1.31 ,       2 ,        4 ,"10852722,33240452"
villi                                 ,    3 ,      2.03 ,       3 ,        4 ,"12616398,26496923,25741220"
brainstem                             ,    3 ,      2.52 ,       4 ,        4 ,"19364667,31403401,28685837,33889951"
clofibrate                            ,    1 ,      1.2  ,       1 ,        4 ,32070771
sow                                   ,    2 ,      3.38 ,       2 ,        4 ,"31408947,26305539"
eiavsubdlv121sub                      ,    1 ,      0.0  ,       1 ,        4 ,31391270
logsub2sub                            ,    1 ,      0.0  ,       1 ,        4 ,30289745
isocitrate                            ,    3 ,      1.55 ,       4 ,        4 ,"26934888,31234367,26195524,20547565"
venous                                ,    3 ,      2.93 ,       3 ,        4 ,"33752971,27646125,33569461"
ijv                                   ,    1 ,      1.07 ,       1 ,        4 ,33752971
ndufs4ko                              ,    1 ,      0.0  ,       1 ,        4 ,32331968
bdnf                                  ,    3 ,      2.18 ,       3 ,        4 ,"31888678,29900121,28900183"
n-alpha-syn                           ,    1 ,      3.0  ,       1 ,        4 ,19432400
mylitta                               ,    1 ,      0.0  ,       1 ,        4 ,20454581
silk                                  ,    1 ,      4.11 ,       1 ,        4 ,20454581
reconstitution                        ,    3 ,      2.37 ,       4 ,        4 ,"15557202,9452424,35902094,17707404"
beta10                                ,    1 ,      0.0  ,       1 ,        4 ,16528249
compile                               ,    3 ,      3.38 ,       3 ,        4 ,"9039501,32817453,35811673"
apbetat                               ,    0 ,      0.0  ,       1 ,        4 ,16237720
desorptionionization                  ,    2 ,      0.0  ,       4 ,        4 ,"16924592,22860605,21149303,33271965"
fdr                                   ,    4 ,      3.07 ,       4 ,        4 ,"35782537,32596266,32548489,29117212"
prm                                   ,    2 ,      2.13 ,       2 ,        4 ,"35782537,34955646"
esfenvalerate                         ,    1 ,      0.0  ,       1 ,        4 ,20003521
tam                                   ,    2 ,      3.28 ,       2 ,        4 ,"33349268,27573699"
peptidomics                           ,    1 ,      0.0  ,       3 ,        4 ,"33490244,35600141,24188528"
histopathology                        ,    2 ,      2.12 ,       2 ,        4 ,"21149303,32636874"
coronavirus                           ,    2 ,      3.22 ,       2 ,        4 ,"35600141,27257648"
sars-cov-2                            ,    2 ,      2.57 ,       2 ,        4 ,"35600141,35013429"
injure                                ,    3 ,      3.27 ,       3 ,        4 ,"32867742,25907681,21776009"
ependymoma                            ,    1 ,      1.32 ,       1 ,        4 ,32183175
supratentorial                        ,    1 ,      1.04 ,       1 ,        4 ,32183175
fossa                                 ,    1 ,      2.57 ,       1 ,        4 ,32183175
hmgb2                                 ,    2 ,      0.0  ,       2 ,        4 ,"30988666,31694235"
bottleneck                            ,    1 ,      2.97 ,       2 ,        4 ,"23718750,35886053"
immunotherapy                         ,    4 ,      2.76 ,       3 ,        4 ,"29439554,29702669,32817453"
ishikawa                              ,    1 ,      2.61 ,       1 ,        4 ,28539318
h19                                   ,    1 ,      1.59 ,       1 ,        4 ,29157910
metazoa                               ,    3 ,      1.44 ,       4 ,        4 ,"28975734,35911972,21667333,27265872"
bel7402                               ,    1 ,      0.0  ,       1 ,        4 ,24676454
fa5                                   ,    1 ,      0.0  ,       1 ,        4 ,34199160
pi-plcβ1                              ,    1 ,      0.0  ,       1 ,        4 ,23665500
bpa                                   ,    1 ,      2.92 ,       1 ,        4 ,24552547
hbx                                   ,    1 ,      1.41 ,       1 ,        4 ,35122182
lps-induced                           ,    2 ,      3.05 ,       2 ,        4 ,"33569461,28068390"
pyroptosis                            ,    1 ,      0.0  ,       1 ,        4 ,33569461
gsdmd                                 ,    1 ,      0.0  ,       1 ,        4 ,33569461
eif3a                                 ,    2 ,      0.0  ,       2 ,        4 ,"33764077,18065650"
aminotransferase                      ,    2 ,      2.07 ,       4 ,        4 ,"31234367,15998247,31620020,19360125"
hmgb                                  ,    1 ,      0.0  ,       1 ,        4 ,31694235
b100                                  ,    1 ,      0.65 ,       1 ,        4 ,30259240
adipocytes                            ,    4 ,      1.96 ,       3 ,        4 ,"19864425,31197210,28529127"
lrp1                                  ,    1 ,      0.0  ,       1 ,        4 ,19864425
excretory-secretory                   ,    2 ,      1.82 ,       4 ,        4 ,"34679046,35215189,29228011,18538872"
trypanosoma                           ,    3 ,      1.96 ,       4 ,        4 ,"25151410,28972996,10713147,18325611"
charcot-marie-tooth                   ,    1 ,      2.24 ,       4 ,        4 ,"28632987,32333447,29235198,32543048"
ush3b                                 ,    1 ,      0.0  ,       1 ,        4 ,28632987
harsl                                 ,    1 ,      0.0  ,       1 ,        4 ,12056811
hts                                   ,    2 ,      2.66 ,       2 ,        4 ,"1459448,29436819"
presequence                           ,    2 ,      0.0  ,       3 ,        4 ,"1459448,11229364,18325611"
ornithine                             ,    3 ,      1.92 ,       4 ,        4 ,"19114004,19360125,15377278,11976098"
vancomycin                            ,    1 ,      2.28 ,       1 ,        4 ,26840285
rubensi                               ,    1 ,      0.0  ,       1 ,        4 ,32575356
thermotolerance                       ,    2 ,      0.0  ,       2 ,        4 ,"20074381,30356767"
thioredoxins                          ,    3 ,      0.0  ,       4 ,        4 ,"26360774,11784321,16891402,18271751"
capsulatumi                           ,    2 ,      0.0  ,       1 ,        4 ,30918062
apple                                 ,    1 ,      4.76 ,       2 ,        4 ,"29495482,22313238"
rootstock                             ,    2 ,      2.19 ,       2 ,        4 ,"29495482,33920578"
bl6                                   ,    1 ,      0.0  ,       1 ,        4 ,24169046
blks                                  ,    1 ,      1.32 ,       1 ,        4 ,24169046
pio                                   ,    1 ,      2.65 ,       1 ,        4 ,24169046
oxygenase                             ,    3 ,      1.74 ,       3 ,        4 ,"33307066,27602567,32420127"
co-activator                          ,    2 ,      2.78 ,       4 ,        4 ,"22070747,24250814,17890166,9590696"
isozymes                              ,    1 ,      1.57 ,       3 ,        4 ,"16234850,2915978,2050125"
l-serine                              ,    1 ,      2.64 ,       1 ,        4 ,24920668
plp                                   ,    1 ,      2.45 ,       3 ,        4 ,"25240868,21600186,19917609"
rhodobacter                           ,    1 ,      1.02 ,       4 ,        4 ,"26511319,26605136,19917609,28810712"
k221v                                 ,    0 ,      0.0  ,       1 ,        4 ,26605136
y199h                                 ,    0 ,      0.0  ,       1 ,        4 ,10029606
hemochromatosis                       ,    1 ,      1.88 ,       2 ,        4 ,"10029606,16446107"
ferritin                              ,    2 ,      2.07 ,       4 ,        4 ,"12393718,2050125,27602567,35303100"
p520l                                 ,    1 ,      0.0  ,       1 ,        4 ,16446107
cassette                              ,    3 ,      3.4  ,       4 ,        4 ,"19731322,28555368,31835328,16134099"
xlp                                   ,    1 ,      1.22 ,       2 ,        4 ,"32499479,23348515"
ealas                                 ,    1 ,      0.0  ,       1 ,        4 ,20087844
xp1121                                ,    1 ,      0.0  ,       1 ,        4 ,1577484
dp104                                 ,    0 ,      0.0  ,       1 ,        4 ,7928952
ifn-gamma                             ,    1 ,      2.5  ,       1 ,        4 ,17555569
alasalas                              ,    1 ,      0.0  ,       1 ,        4 ,21600186
coenzyme                              ,    1 ,      2.41 ,       3 ,        4 ,"19917609,33626217,31732577"
amberjack                             ,    1 ,      1.64 ,       1 ,        4 ,35158652
iclanculusi                           ,    1 ,      0.0  ,       1 ,        4 ,29238562
uroporphyrin                          ,    1 ,      0.0  ,       1 ,        4 ,29238562
rsh                                   ,    1 ,      1.63 ,       1 ,        4 ,30189641
microoxia                             ,    1 ,      0.0  ,       1 ,        4 ,31134003
rhizobial                             ,    1 ,      0.0  ,       3 ,        4 ,"31134003,21498770,15060047"
rhizoplane                            ,    1 ,      0.0  ,       1 ,        4 ,23666536
bradyrhizobium                        ,    1 ,      1.14 ,       3 ,        4 ,"23666536,21498770,16573691"
nodulation                            ,    1 ,      1.18 ,       3 ,        4 ,"23666536,21498770,15060047"
bacteroid                             ,    1 ,      0.0  ,       2 ,        4 ,"21498770,15060047"
mobilis                               ,    1 ,      1.27 ,       1 ,        4 ,32804944
mobilisi                              ,    1 ,      0.0  ,       2 ,        4 ,"32195236,29375488"
rubrumi                               ,    1 ,      0.0  ,       1 ,        4 ,32269553
dmerf                                 ,    1 ,      0.0  ,       1 ,        4 ,27235438
thiooxidans                           ,    1 ,      0.0  ,       1 ,        4 ,28810712
ysc3                                  ,    1 ,      0.0  ,       1 ,        4 ,30143697
loti                                  ,    2 ,      1.83 ,       2 ,        4 ,"15060047,29034959"
isphingomonasi                        ,    1 ,      0.0  ,       1 ,        4 ,33361324
lsm10                                 ,    1 ,      0.0  ,       2 ,        4 ,"11574479,12975319"
lsm                                   ,    2 ,      2.17 ,       2 ,        4 ,"11991638,23620288"
prp16                                 ,    2 ,      0.0  ,       2 ,        4 ,"11991638,28076346"
u11                                   ,    1 ,      2.0  ,       1 ,        4 ,15146077
u4u6                                  ,    1 ,      0.0  ,       4 ,        4 ,"26912367,28781166,26743623,11302706"
gemins                                ,    0 ,      0.0  ,       1 ,        4 ,18621711
cusosub4sub-induced                   ,    1 ,      0.0  ,       1 ,        4 ,32493433
lepidic                               ,    1 ,      0.0  ,       1 ,        4 ,26162278
tmz                                   ,    1 ,      3.13 ,       1 ,        4 ,32296580
immunize                              ,    2 ,      2.06 ,       2 ,        4 ,"34200738,25119981"
sup1bsup                              ,    1 ,      0.0  ,       1 ,        4 ,28811544
ppbec1                                ,    1 ,      0.0  ,       1 ,        4 ,19772651
ppxero2                               ,    1 ,      0.0  ,       1 ,        4 ,19772651
salicylic                             ,    2 ,      2.57 ,       2 ,        4 ,"32735576,26528317"
hypersensitive                        ,    3 ,      2.46 ,       4 ,        4 ,"29238354,22615881,10681558,11741925"
chiclust                              ,    0 ,      0.0  ,       1 ,        4 ,11840567
chimap                                ,    0 ,      0.0  ,       1 ,        4 ,11840567
kh3                                   ,    1 ,      1.77 ,       2 ,        4 ,"12093748,22825850"
fever                                 ,    2 ,      4.22 ,       3 ,        4 ,"18775702,35303100,25555378"
quiescent                             ,    1 ,      2.35 ,       2 ,        4 ,"8107114,10899122"
s-transferase                         ,    2 ,      2.25 ,       4 ,        4 ,"9651361,14570900,20919932,12519079"
lincrnas                              ,    1 ,      0.0  ,       1 ,        4 ,20673990
zik1                                  ,    0 ,      0.0  ,       1 ,        4 ,8910362
norovirus                             ,    1 ,      2.23 ,       1 ,        4 ,22933270
oxidatively                           ,    2 ,      1.32 ,       3 ,        4 ,"28555196,12714748,20649472"
xr-pid                                ,    1 ,      2.52 ,       1 ,        4 ,29220657
endocrinopathic                       ,    2 ,      0.0  ,       1 ,        4 ,32596266
tasmanian                             ,    1 ,      3.22 ,       1 ,        4 ,29702669
mastitic                              ,    1 ,      0.0  ,       1 ,        4 ,26088507
sdc1                                  ,    1 ,      0.0  ,       1 ,        4 ,32575635
zipper                                ,    1 ,      3.3  ,       3 ,        4 ,"10623756,10871379,9271389"
gabp                                  ,    1 ,      1.17 ,       2 ,        4 ,"10675337,12235138"
reversibly                            ,    1 ,      2.07 ,       4 ,        4 ,"10779346,25064856,18279387,19006180"
reiteration                           ,    1 ,      2.05 ,       2 ,        4 ,"10920196,16624878"
hpip                                  ,    1 ,      0.0  ,       1 ,        4 ,12235138
set1ash2                              ,    1 ,      0.0  ,       1 ,        4 ,12670868
degenerate                            ,    2 ,      3.33 ,       4 ,        4 ,"14532282,17890166,22912857,10025941"
trithorax                             ,    1 ,      0.0  ,       2 ,        4 ,"15199122,23629655"
methylate                             ,    2 ,      1.27 ,       4 ,        4 ,"19131338,23629655,10381882,11997499"
hcf-1n                                ,    1 ,      1.67 ,       1 ,        4 ,19815555
nsl                                   ,    1 ,      2.24 ,       1 ,        4 ,20018852
hcf1                                  ,    1 ,      0.0  ,       3 ,        4 ,"20018852,23353889,32479599"
thap3                                 ,    1 ,      0.0  ,       1 ,        4 ,20200153
tet2                                  ,    1 ,      0.0  ,       1 ,        4 ,23353889
xlid                                  ,    1 ,      0.0  ,       2 ,        4 ,"28302723,28584052"
unaltered                             ,    4 ,      2.79 ,       4 ,        4 ,"28302723,22025680,18636753,1383159"
pdx1                                  ,    0 ,      0.0  ,       1 ,        4 ,24250814
cblx                                  ,    1 ,      0.0  ,       2 ,        4 ,"33517344,25281006"
milder                                ,    1 ,      3.04 ,       2 ,        4 ,"33517344,19546244"
mbiv                                  ,    1 ,      0.0  ,       1 ,        4 ,26522729
cali                                  ,    1 ,      3.33 ,       1 ,        4 ,23008267
adp-ribosylation                      ,    1 ,      1.28 ,       3 ,        4 ,"16901746,18627462,15316019"
mrnps                                 ,    2 ,      0.0  ,       2 ,        4 ,"19417104,17932509"
smg-8                                 ,    1 ,      2.65 ,       1 ,        4 ,19417104
stat1                                 ,    1 ,      1.61 ,       2 ,        4 ,"16139798,34343541"
isgylated                             ,    0 ,      0.0  ,       1 ,        4 ,16139798
exotoxin                              ,    1 ,      1.17 ,       3 ,        4 ,"7559470,16107839,15316019"
protoplast                            ,    2 ,      1.33 ,       4 ,        4 ,"19824013,9263459,21750984,20018887"
eta                                   ,    1 ,      3.37 ,       2 ,        4 ,"16107839,28068390"
mrna-trna                             ,    0 ,      2.45 ,       1 ,        4 ,17446867
disulfides                            ,    1 ,      1.34 ,       3 ,        4 ,"15998247,25793542,11784321"
glh                                   ,    1 ,      1.51 ,       1 ,        4 ,32448582
bloodmeal                             ,    1 ,      0.0  ,       1 ,        4 ,35303100
rack1                                 ,    1 ,      0.0  ,       1 ,        4 ,25555378
cnidarian                             ,    1 ,      1.33 ,       1 ,        4 ,19627569
anemone                               ,    1 ,      2.56 ,       1 ,        4 ,19627569
viridis                               ,    1 ,      2.03 ,       1 ,        4 ,19627569
capsulatum                            ,    1 ,      1.02 ,       1 ,        4 ,27303729
mabs                                  ,    1 ,      1.9  ,       1 ,        4 ,27303729
glit                                  ,    1 ,      0.0  ,       1 ,        4 ,26150413
dithiol                               ,    2 ,      0.0  ,       3 ,        4 ,"26150413,11877442,29554571"
s-adenosylmethionine                  ,    2 ,      1.32 ,       4 ,        4 ,"26150413,19360125,21173025,10381882"
mycelia                               ,    2 ,      1.82 ,       2 ,        4 ,"26528317,29202712"
atf1                                  ,    1 ,      0.0  ,       2 ,        4 ,"18065650,11452028"
hydroxyurea                           ,    1 ,      1.63 ,       2 ,        4 ,"28555368,11452028"
fungicide                             ,    2 ,      2.4  ,       3 ,        4 ,"28555368,15262146,31031728"
hsp16                                 ,    1 ,      0.77 ,       1 ,        4 ,11452028
acetylome                             ,    1 ,      0.0  ,       2 ,        4 ,"31671511,23796209"
tachyzoite                            ,    2 ,      0.0  ,       2 ,        4 ,"20403389,34039408"
medicago                              ,    2 ,      1.79 ,       4 ,        4 ,"26503705,23267362,31133003,19575787"
amebiasis                             ,    2 ,      1.07 ,       2 ,        4 ,"33688012,33592076"
interrogate                           ,    3 ,      2.9  ,       3 ,        4 ,"28787542,29451780,34238312"
photosystem                           ,    2 ,      1.84 ,       4 ,        4 ,"31133003,12084836,23291769,29879216"
tbn                                   ,    1 ,      2.01 ,       1 ,        4 ,26486652
bjbn                                  ,    1 ,      0.0  ,       1 ,        4 ,26486652
amastigotes                           ,    1 ,      1.02 ,       2 ,        4 ,"29176891,32295617"
lv79                                  ,    1 ,      0.0  ,       1 ,        4 ,29176891
donovani                              ,    2 ,      1.41 ,       2 ,        4 ,"32295617,29554571"
majori                                ,    1 ,      1.27 ,       1 ,        4 ,34466438
f446i                                 ,    1 ,      0.0  ,       1 ,        4 ,32098812
n458y                                 ,    1 ,      0.0  ,       1 ,        4 ,32098812
rsa                                   ,    1 ,      3.13 ,       1 ,        4 ,32098812
rostrata                              ,    1 ,      1.58 ,       1 ,        4 ,29034959
coculture                             ,    1 ,      1.15 ,       1 ,        4 ,29034959
tenella                               ,    1 ,      1.48 ,       1 ,        4 ,31852494
aleurone                              ,    2 ,      0.0  ,       2 ,        4 ,"29342075,8914536"
hc21                                  ,    0 ,      0.0  ,       1 ,        4 ,11707072
mpcs                                  ,    0 ,      1.22 ,       1 ,        4 ,22862948
nectins                               ,    0 ,      0.0  ,       1 ,        4 ,12826663
pals2                                 ,    1 ,      0.0  ,       2 ,        4 ,"12826663,35445918"
schmidt-lanterman                     ,    1 ,      1.3  ,       4 ,        4 ,"30357511,23306908,22025680,35445918"
incisure                              ,    1 ,      0.0  ,       4 ,        4 ,"30357511,23306908,22025680,35445918"
pns                                   ,    1 ,      2.19 ,       3 ,        4 ,"30357511,23306908,35445918"
lin7                                  ,    1 ,      0.0  ,       2 ,        4 ,"30357511,35445918"
internode                             ,    2 ,      1.73 ,       2 ,        4 ,"30357511,21569547"
fa2hsup                               ,    1 ,      0.0  ,       1 ,        4 ,35445918
hypoxia-inducible                     ,    3 ,      2.19 ,       3 ,        4 ,"34938367,34955646,10594042"
βiipkc                                ,    1 ,      0.0  ,       1 ,        4 ,30659190
samβa                                 ,    1 ,      0.0  ,       1 ,        4 ,30659190
mtr4                                  ,    1 ,      0.0  ,       1 ,        4 ,35902094
rrp6                                  ,    1 ,      0.0  ,       1 ,        4 ,35902094
npy                                   ,    1 ,      1.69 ,       1 ,        4 ,33034629
p122                                  ,    0 ,      0.96 ,       1 ,        4 ,9710639
nfar1                                 ,    1 ,      0.0  ,       2 ,        4 ,"14731398,21123651"
pre-60s                               ,    1 ,      2.65 ,       2 ,        4 ,"26240280,32669547"
dna-pkcs                              ,    0 ,      1.5  ,       1 ,        4 ,9442054
prm-1                                 ,    1 ,      2.13 ,       1 ,        4 ,7744952
manchettes                            ,    0 ,      0.0  ,       1 ,        4 ,9674995
dbtg                                  ,    1 ,      0.0  ,       1 ,        4 ,25918244
m6a                                   ,    1 ,      0.0  ,       1 ,        4 ,33794982
ncl                                   ,    2 ,      2.15 ,       2 ,        4 ,"25965334,32420127"
apoe4                                 ,    1 ,      1.35 ,       1 ,        4 ,34238312
e4e4                                  ,    1 ,      0.0  ,       1 ,        4 ,34238312
mitoribosomes                         ,    1 ,      0.0  ,       2 ,        4 ,"25838379,28892042"
thiol-dependent                       ,    1 ,      2.1  ,       4 ,        4 ,"20381631,8554614,19766572,15099742"
cumene                                ,    1 ,      1.33 ,       4 ,        4 ,"20381631,20211754,22450240,17329258"
detoxify                              ,    1 ,      2.13 ,       4 ,        4 ,"20144717,15099742,19064914,14630923"
bnp7787                               ,    0 ,      0.0  ,       1 ,        4 ,25793542
cuooh                                 ,    1 ,      0.0  ,       2 ,        4 ,"20211754,22450240"
